# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "12" "-a" "../../reference/Oryza_sativa.IRGSP-1.0.51.gtf" "-o" "Oryza_sativa_expr.txt" "A1_1_val_1.bam" "A2_1_val_1.bam" "A3_1_val_1.bam" "B1_1_val_1.bam" "B2_1_val_1.bam" "B3_1_val_1.bam" "C1_1_val_1.bam" "C2_1_val_1.bam" "C3_1_val_1.bam" "E1_1_val_1.bam" "E2_1_val_1.bam" "E3_1_val_1.bam" "F1_1_val_1.bam" "F2_1_val_1.bam" "F3_1_val_1.bam" "G1_1_val_1.bam" "G2_1_val_1.bam" "G3_1_val_1.bam" "H1_1_val_1.bam" "H2_1_val_1.bam" "H3_1_val_1.bam" "K1_1_val_1.bam" "K2_1_val_1.bam" "K3_1_val_1.bam" "M1_1_val_1.bam" "M2_1_val_1.bam" "M3_1_val_1.bam" "P1_1_val_1.bam" "P2_1_val_1.bam" "P3_1_val_1.bam" "R1_1_val_1.bam" "R2_1_val_1.bam" "R3_1_val_1.bam" "X1_1_val_1.bam" "X2_1_val_1.bam" "X3_1_val_1.bam" 
Geneid	Chr	Start	End	Strand	Length	A1_1_val_1.bam	A2_1_val_1.bam	A3_1_val_1.bam	B1_1_val_1.bam	B2_1_val_1.bam	B3_1_val_1.bam	C1_1_val_1.bam	C2_1_val_1.bam	C3_1_val_1.bam	E1_1_val_1.bam	E2_1_val_1.bam	E3_1_val_1.bam	F1_1_val_1.bam	F2_1_val_1.bam	F3_1_val_1.bam	G1_1_val_1.bam	G2_1_val_1.bam	G3_1_val_1.bam	H1_1_val_1.bam	H2_1_val_1.bam	H3_1_val_1.bam	K1_1_val_1.bam	K2_1_val_1.bam	K3_1_val_1.bam	M1_1_val_1.bam	M2_1_val_1.bam	M3_1_val_1.bam	P1_1_val_1.bam	P2_1_val_1.bam	P3_1_val_1.bam	R1_1_val_1.bam	R2_1_val_1.bam	R3_1_val_1.bam	X1_1_val_1.bam	X2_1_val_1.bam	X3_1_val_1.bam
ENSRNA049442722	1	182074	182154	+	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049442424	1	14454630	14454702	+	73	3	0	2	2	1	5	0	4	3	3	0	0	6	4	4	7	1	0	0	9	1	1	1	1	5	4	7	1	3	3	2	2	0	9	2	2
ENSRNA049442327	1	18689348	18689419	+	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSRNA049442288	1	24373570	24373640	+	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049442195	1	30107880	30107952	+	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049442095	1	31523663	31523735	+	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049441959	1	33563582	33563654	+	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049441928	1	34942529	34942602	+	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSRNA049441839	1	36016463	36016535	+	73	2	3	0	0	0	0	0	0	0	3	1	1	2	0	0	0	0	0	2	0	3	2	2	3	0	1	0	1	1	4	0	0	0	0	6	0
ENSRNA049441771	1	36115211	36115283	+	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049441659	1	39247233	39247306	+	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049441592	1	42300401	42300473	+	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049441495	1	43025641	43025714	-	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049441421	1	42318166	42318238	-	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049441339	1	40793762	40793842	-	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049441259	1	40086054	40086126	-	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049441102	1	37693591	37693662	-	72	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	4	0	0	0	0	0	4	3	0	0	0	6	0	0	0	0	0	0	2
ENSRNA049440716	1	35264198	35264278	-	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049440515	1	33589412	33589483	-	72	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049451109	1	31107715	31107787	-	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049451059	1	27749216	27749297	-	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049451040	1	26041053	26041126	-	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049450992	1	18997470	18997543	-	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049450965	1	14797348	14797428	-	81	0	0	0	6	0	1	0	0	0	0	0	0	0	2	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSRNA049450913	1	3516689	3516760	-	72	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049450896	1	2391023	2391103	-	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471498	1	22444199	22444323	+	125	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471512	1	27100631	27100783	+	153	2	0	2	16	3	4	22	31	22	0	2	0	8	7	3	16	29	30	25	10	20	4	0	0	7	18	5	0	0	0	6	17	11	14	28	24
ENSRNA049471527	1	28888769	28888831	+	63	3	4	4	6	2	3	8	0	10	1	3	0	2	4	3	8	6	8	11	12	11	1	3	0	8	4	16	4	6	3	3	2	1	8	22	20
ENSRNA049471535	1	24615788	24616027	+	240	2	0	1	0	2	1	1	0	3	2	0	0	4	6	6	2	10	8	3	14	4	0	2	0	1	9	0	6	2	0	1	1	9	2	8	0
ENSRNA049471546	1	27236128	27236278	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471555	1	27609521	27609600	-	80	75	74	65	64	49	56	127	100	83	62	51	70	92	28	28	90	102	117	253	202	250	33	46	79	30	81	70	84	85	46	66	75	37	142	303	310
ENSRNA049471560	1	26823280	26823472	-	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471578	1	25390346	25390469	+	124	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
ENSRNA049471602	1	23323571	23323888	+	318	23	18	11	50	36	9	30	33	54	25	23	23	43	14	18	39	9	11	35	16	16	6	4	16	15	3	12	20	18	26	33	25	19	15	19	10
ENSRNA049471632	1	41010580	41010655	-	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471650	1	41010743	41010838	-	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471695	1	33521888	33521976	+	89	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471700	1	33528739	33528813	-	75	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471707	1	33511612	33511730	+	119	0	0	0	3	2	4	0	2	1	0	0	0	10	3	4	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0
ENSRNA049471715	1	33580184	33580260	-	77	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ENSRNA049471723	1	33532078	33532191	+	114	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSRNA049471743	1	38730446	38730510	-	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471755	1	36366185	36366328	-	144	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSRNA049471772	1	33544892	33545423	+	532	2	1	10	523	49	519	30	3	1	0	0	0	6	14	663	0	1	2	311	558	1	2	0	0	0	4	369	2	1	0	1408	8	1	0	0	6
ENSRNA049471778	1	33506260	33506791	+	532	8	3	5	6	3	2	2	3	2	3	1	1	3	3	3	2	8	4	3	4	0	0	1	3	0	8	2	6	1	0	1	2	1	4	5	3
ENSRNA049471791	1	34203179	34203302	-	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471802	1	31645060	31645140	-	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471835	1	37415298	37415459	-	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471844	1	36367763	36367921	-	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471864	1	33569114	33569300	-	187	0	0	0	3	3	4	0	0	0	0	0	0	4	3	9	3	2	6	2	9	12	0	0	0	4	0	4	0	0	0	2	2	1	1	1	6
ENSRNA049471882	1	33586499	33587378	-	880	6	0	2	1	9	6	4	6	3	4	6	2	12	2	0	12	6	6	19	6	10	0	6	6	0	2	9	4	2	8	2	3	5	6	6	8
ENSRNA049471191	1	3439717	3439781	-	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471225	1	9659828	9659922	-	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471239	1	8729130	8729248	+	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471251	1	9655563	9655656	-	94	28	38	24	21	10	3	1	4	10	3	10	8	0	0	1	2	3	1	8	0	2	14	13	14	8	11	10	22	20	5	2	2	3	1	0	0
ENSRNA049471263	1	4981119	4981241	+	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471273	1	9656133	9656232	-	100	27	15	18	10	2	6	1	4	0	7	14	22	1	1	2	0	0	0	0	2	0	8	2	13	1	5	1	9	15	3	1	1	4	0	0	0
ENSRNA049471283	1	9659592	9659685	-	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471342	1	9660381	9660475	-	95	10	10	8	4	3	12	6	3	0	0	4	5	0	1	4	10	0	0	0	0	0	6	15	12	3	10	8	6	6	2	4	6	9	0	8	0
ENSRNA049471325	1	9655929	9656016	-	88	27	17	23	8	4	3	2	5	1	12	16	17	2	5	2	1	2	2	3	0	0	10	8	9	2	3	5	14	17	13	4	0	10	0	2	1
ENSRNA049471314	1	6677568	6677765	-	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471305	1	6563754	6563944	-	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471293	1	9760706	9760898	-	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049471366	1	6693112	6693301	+	190	0	5	3	0	2	0	0	0	1	4	2	4	3	5	1	0	1	1	0	0	0	5	1	8	0	6	1	8	7	8	1	4	0	0	0	0
ENSRNA049471356	1	6556046	6556244	-	199	1	1	2	0	1	0	2	3	3	0	2	0	1	0	0	1	4	3	0	4	2	2	0	0	2	0	5	0	0	0	0	1	1	2	4	1
ENSRNA049471381	1	1215030	1215219	+	190	3	3	3	15	16	16	37	34	26	6	12	12	3	14	11	29	47	26	78	51	62	10	9	12	9	36	39	25	6	2	22	34	23	89	153	161
ENSRNA049472690	1	13896826	13896892	+	67	5	4	5	0	0	1	0	0	0	0	2	3	0	0	0	0	1	0	0	0	4	4	3	1	1	2	5	1	2	10	0	2	0	0	0	8
ENSRNA049472701	1	17675518	17675582	-	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472720	1	17953484	17953548	+	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472737	1	12922242	12922330	-	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049472745	1	15717802	15717908	+	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
